trend_name,trend_summary,trend_keywords,image_url
Ube Matcha Latte,Layered matcha latte blended with purple ube for bold color contrast.,"matcha,ube,layered_drink,purple_aesthetic,iced_latte",https://images.unsplash.com/photo-ube-matcha-latte
Strawberry Cold Foam Matcha,Iced matcha topped with strawberry-infused cold foam.,"matcha,cold_foam,strawberry_puree,layered_drink",https://images.unsplash.com/photo-strawberry-cold-foam-matcha
Protein Cold Brew,Cold brew blended with vanilla protein for functional drinks.,"cold_brew,protein_blend,functional_drink",https://images.unsplash.com/photo-protein-cold-brew
Lavender Honey Latte,Floral lavender syrup paired with honey.,"lavender_syrup,honey_flavor,floral_drink",https://images.unsplash.com/photo-lavender-honey-latte
Pistachio Cream Latte,Nutty pistachio cream incorporated into espresso drinks.,"pistachio_flavor,cream_topping,nutty_latte",https://images.unsplash.com/photo-pistachio-cream-latte
Brown Butter Cookies,Caramelized butter flavor elevating classic cookies.,"brown_butter,cookie_variation,artisan_bakery",https://images.unsplash.com/photo-brown-butter-cookies
Olive Oil Citrus Cake,Moist olive oil cake with citrus glaze.,"olive_oil_cake,citrus_glaze,artisan_pastry",https://images.unsplash.com/photo-olive-oil-citrus-cake
Yuzu Lemonade,Citrus-forward yuzu lemonade.,"yuzu_flavor,citrus_drink,fruit_infusion",https://images.unsplash.com/photo-yuzu-lemonade
Hot Honey Chicken Sandwich,Sweet and spicy honey over crispy chicken.,"hot_honey,spicy_sweet,sandwich_upgrade",https://images.unsplash.com/photo-hot-honey-chicken-sandwich
Matcha Soft Serve,Green tea soft serve with swirl presentation.,"matcha_softserve,green_dessert,swirl_aesthetic",https://images.unsplash.com/photo-matcha-soft-serve
Mini Dessert Sampler Box,Curated mini pastries for gifting.,"mini_pastries,sampler_box,gifting_format",https://images.unsplash.com/photo-mini-dessert-sampler-box
Chili Crisp Noodles,Spicy chili crisp noodle bowls.,"chili_crisp,spicy_noodles,umami_flavor",https://images.unsplash.com/photo-chili-crisp-noodles
Cold Brew Concentrate,Retail bottled concentrate for at-home brewing.,"cold_brew_concentrate,bottled_coffee",https://images.unsplash.com/photo-cold-brew-concentrate
Rose Cardamom Latte,Spiced floral espresso beverage.,"cardamom_spice,rose_flavor,spiced_latte",https://images.unsplash.com/photo-rose-cardamom-latte
High-Protein Muffins,Bakery muffins reformulated for protein.,"protein_pastry,functional_bakery",https://images.unsplash.com/photo-high-protein-muffins
Sparkling Peach Iced Tea,Carbonated peach tea beverage.,"peach_flavor,sparkling_tea",https://images.unsplash.com/photo-sparkling-peach-iced-tea
Tiramisu Iced Coffee,Mascarpone and cocoa flavored iced coffee.,"tiramisu_flavor,dessert_coffee",https://images.unsplash.com/photo-tiramisu-iced-coffee
Ube Cheesecake Bars,Purple ube flavored cheesecake squares.,"ube_dessert,cheesecake_bar",https://images.unsplash.com/photo-ube-cheesecake-bars
Matcha White Chocolate Cookies,Green tea cookie with white chocolate chunks.,"matcha_cookie,white_chocolate_chunk",https://images.unsplash.com/photo-matcha-white-chocolate-cookies
Pistachio Croissants,Croissants filled with pistachio cream.,"pistachio_filling,laminated_pastry",https://images.unsplash.com/photo-pistachio-croissants
Floral Lemon Shortbread,Buttery cookies with floral citrus glaze.,"lemon_glaze,shortbread_cookie",https://images.unsplash.com/photo-floral-lemon-shortbread
Espresso Tonic,Sparkling tonic mixed with espresso.,"espresso_tonic,carbonated_coffee",https://images.unsplash.com/photo-espresso-tonic
Miso Caramel Dessert,Savory miso blended into caramel sweets.,"miso_caramel,umami_dessert",https://images.unsplash.com/photo-miso-caramel-dessert
Salted Maple Latte,Maple syrup with sea salt finish.,"maple_flavor,salted_sweet",https://images.unsplash.com/photo-salted-maple-latte
Tahini Chocolate Bars,Sesame tahini blended into dark chocolate.,"tahini_chocolate,artisan_confection",https://images.unsplash.com/photo-tahini-chocolate-bars
Glazed Donut Nails,Sheer glossy chrome-like nail finish.,"sheer_nails,chrome_finish",https://images.unsplash.com/photo-glazed-donut-nails
Skin Tint Foundation,Lightweight breathable complexion product.,"light_coverage,natural_finish",https://images.unsplash.com/photo-skin-tint-foundation
Barrier Repair Cream,Moisturizer focused on ceramide support.,"ceramide_cream,skin_barrier",https://images.unsplash.com/photo-barrier-repair-cream
Lip Oil Gloss,Hydrating glossy lip product.,"lip_oil,high_shine",https://images.unsplash.com/photo-lip-oil-gloss
Scalp Serum Drops,Targeted scalp hydration treatments.,"scalp_serum,root_health",https://images.unsplash.com/photo-scalp-serum-drops
Refillable Cushion Foundation,Compact foundation with refill pod.,"refill_pod,compact_foundation",https://images.unsplash.com/photo-refillable-cushion-foundation
Solid Perfume Stick,Travel-friendly balm fragrance.,"solid_fragrance,balm_perfume",https://images.unsplash.com/photo-solid-perfume-stick
Cream Blush Stick,Twist-up cream blush format.,"cream_blush,stick_format",https://images.unsplash.com/photo-cream-blush-stick
Peptide Lip Treatment,Lip balm infused with peptides.,"peptide_formula,plumping_effect",https://images.unsplash.com/photo-peptide-lip-treatment
Chrome Eye Shadow,Metallic silver eye palette.,"chrome_shadow,metallic_makeup",https://images.unsplash.com/photo-chrome-eye-shadow
Brown Mascara,Soft brown lash tint.,"brown_lashes,soft_glam",https://images.unsplash.com/photo-brown-mascara
Freckle Pen,Makeup pen to create faux freckles.,"freckle_pen,playful_makeup",https://images.unsplash.com/photo-freckle-pen
Hair Gloss Treatment,At-home shine enhancing gloss.,"hair_gloss,shine_boost",https://images.unsplash.com/photo-hair-gloss-treatment
Body Oil Mist,Lightweight shimmer body oil.,"body_oil,summer_glow",https://images.unsplash.com/photo-body-oil-mist
Skin Cycling Kit,Bundled retinol and exfoliant routine.,"retinol_routine,night_regimen",https://images.unsplash.com/photo-skin-cycling-kit
Glass Highlighter,Ultra-reflective facial highlighter.,"wet_glow,cheek_shine",https://images.unsplash.com/photo-glass-highlighter
Underpainting Contour,Cream contour layered under foundation.,"underpainting,cream_contour",https://images.unsplash.com/photo-underpainting-contour
Color Correcting Primer,Green and purple tone correcting base.,"color_corrector,makeup_base",https://images.unsplash.com/photo-color-correcting-primer
Tubing Mascara,Smudge-proof lash formula.,"tubing_formula,lash_wrap",https://images.unsplash.com/photo-tubing-mascara
Scalp Massager Brush,Silicone brush for shampoo massage.,"silicone_brush,scalp_tool",https://images.unsplash.com/photo-scalp-massager-brush
Body Acne Spray,Spray-on treatment for body breakouts.,"body_spray_treatment,backne_solution",https://images.unsplash.com/photo-body-acne-spray
Minimal Brow Gel,Clear brow shaping gel.,"clear_brow,laminated_effect",https://images.unsplash.com/photo-minimal-brow-gel
Peach Undereye Corrector,Brightening peach tone corrector.,"peach_corrector,under_eye",https://images.unsplash.com/photo-peach-undereye-corrector
Multi Balm Stick,All-in-one hydration stick.,"hydration_stick,travel_skincare",https://images.unsplash.com/photo-multi-balm-stick
Glitter Nail Top Coat,Sheer glitter overlay polish.,"glitter_overlay,top_coat",https://images.unsplash.com/photo-glitter-nail-top-coat
Sheer Mesh Top,Transparent mesh layering top.,"mesh_top,layering_piece",https://images.unsplash.com/photo-sheer-mesh-top
Ballet Flats,Soft rounded ballet shoe.,"flat_shoes,rounded_toe",https://images.unsplash.com/photo-ballet-flats
Butter Yellow Cardigan,Pastel yellow knitwear.,"butter_yellow,knit_cardigan",https://images.unsplash.com/photo-butter-yellow-cardigan
Micro Mini Skirt,Ultra-short hemline skirt.,"micro_mini,low_rise",https://images.unsplash.com/photo-micro-mini-skirt
Oversized Blazer,Relaxed tailored blazer.,"oversized_blazer,structured_layer",https://images.unsplash.com/photo-oversized-blazer
Statement Hair Bow,Large ribbon accessory.,"ribbon_accessory,oversized_bow",https://images.unsplash.com/photo-statement-hair-bow
Platform Sneakers,Elevated sole sneaker.,"chunky_sneaker,platform_sole",https://images.unsplash.com/photo-platform-sneakers
Vintage Denim Jacket,Retro-wash denim jacket.,"vintage_wash,denim_jacket",https://images.unsplash.com/photo-vintage-denim-jacket
Crochet Cardigan,Handmade crochet knit.,"crochet_knit,boho_layer",https://images.unsplash.com/photo-crochet-cardigan
Monochrome Lounge Set,Matching sweatshirt and jogger set.,"matching_set,neutral_loungewear",https://images.unsplash.com/photo-monochrome-lounge-set
Statement Belt Buckle,Large decorative belt hardware.,"oversized_buckle,waist_accessory",https://images.unsplash.com/photo-statement-belt-buckle
Metallic Handbag,Silver mini handbag.,"metallic_bag,chrome_finish",https://images.unsplash.com/photo-metallic-handbag
Cargo Maxi Skirt,Utility pocket long skirt.,"cargo_pockets,maxi_skirt",https://images.unsplash.com/photo-cargo-maxi-skirt
Ribbed Tank,Fitted ribbed layering tank.,"ribbed_tank,fitted_silhouette",https://images.unsplash.com/photo-ribbed-tank
Tailored Vest Top,Structured waistcoat-style top.,"tailored_vest,structured_top",https://images.unsplash.com/photo-tailored-vest-top
Chunky Loafer,Thick-soled leather loafer.,"thick_sole,leather_loafer",https://images.unsplash.com/photo-chunky-loafer
Oversized Graphic Tee,Large silhouette printed tee.,"graphic_print,oversized_fit",https://images.unsplash.com/photo-oversized-graphic-tee
Linen Two-Piece Set,Matching linen top and bottom.,"linen_set,breathable_fabric",https://images.unsplash.com/photo-linen-two-piece-set
Scalloped Hem Dress,Dress with wavy hemline.,"scalloped_edge,romantic_silhouette",https://images.unsplash.com/photo-scalloped-hem-dress
Silver Chain Necklace,Bold silver chain jewelry.,"silver_chain,bold_chain",https://images.unsplash.com/photo-silver-chain-necklace
Tube Top,Strapless fitted top.,"strapless_top,y2k_style",https://images.unsplash.com/photo-tube-top
Woven Ballet Flat,Textured woven flat shoe.,"woven_shoe,summer_footwear",https://images.unsplash.com/photo-woven-ballet-flat
Micro Shoulder Bag,Compact underarm bag.,"micro_bag,mini_accessory",https://images.unsplash.com/photo-micro-shoulder-bag
Patchwork Denim Jeans,Mixed-fabric denim design.,"patchwork_detail,denim_innovation",https://images.unsplash.com/photo-patchwork-denim-jeans
Structured Corset Top,Boned corset-inspired top.,"corset_top,structured_bodice",https://images.unsplash.com/photo-structured-corset-top
Blind Box Figure,Mystery packaged collectible figurine.,"mystery_box,collectible_figure",https://images.unsplash.com/photo-blind-box-figure
Kawaii Plush Toy,Pastel character plush.,"pastel_plush,cute_character",https://images.unsplash.com/photo-kawaii-plush-toy
Retro Handheld Console,Pixel handheld gaming device.,"pixel_console,retro_game",https://images.unsplash.com/photo-retro-handheld-console
Miniature Dollhouse Kit,Build-your-own miniature room.,"miniature_scene,diy_dollhouse",https://images.unsplash.com/photo-miniature-dollhouse-kit
Glow Slime,Luminous tactile slime.,"glow_slime,sensory_play",https://images.unsplash.com/photo-glow-slime
Anime Action Figure,Detailed collectible figurine.,"anime_figure,collector_item",https://images.unsplash.com/photo-anime-action-figure
STEM Robot Kit,Educational robot building kit.,"robot_kit,engineering_toy",https://images.unsplash.com/photo-stem-robot-kit
Trading Card Booster,Limited trading card release.,"booster_pack,card_collecting",https://images.unsplash.com/photo-trading-card-booster
Wooden Stacking Toy,Minimal wooden stacking toy.,"wooden_stack,natural_material",https://images.unsplash.com/photo-wooden-stacking-toy
Puzzle Advent Calendar,Countdown puzzle set.,"daily_reveal,puzzle_set",https://images.unsplash.com/photo-puzzle-advent-calendar
Checkerboard Rug,Graphic checkerboard rug.,"checkerboard_pattern,area_rug",https://images.unsplash.com/photo-checkerboard-rug
Mushroom Table Lamp,Whimsical mushroom-shaped lamp.,"mushroom_lamp,retro_shape",https://images.unsplash.com/photo-mushroom-table-lamp
Curved Accent Chair,Rounded silhouette lounge chair.,"rounded_frame,accent_chair",https://images.unsplash.com/photo-curved-accent-chair
Scalloped Mirror,Mirror with scalloped edges.,"scalloped_frame,decor_mirror",https://images.unsplash.com/photo-scalloped-mirror
Color Block Mug,Two-tone ceramic mug.,"color_block_mug,ceramic_drinkware",https://images.unsplash.com/photo-color-block-mug
Terrazzo Tray,Speckled terrazzo tray.,"terrazzo_pattern,decor_tray",https://images.unsplash.com/photo-terrazzo-tray
Wavy Coffee Table,Table with wavy silhouette.,"wavy_silhouette,modern_design",https://images.unsplash.com/photo-wavy-coffee-table
Chunky Knit Throw,Textured decorative blanket.,"chunky_knit,cozy_throw",https://images.unsplash.com/photo-chunky-knit-throw
Rattan Storage Basket,Natural woven storage.,"rattan_weave,boho_detail",https://images.unsplash.com/photo-rattan-storage-basket
